CO(GT),PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,AirQualityCategory
1.8,1127.0,7.9,896.0,257.0,663.0,172.0,1227.0,1009.0,8.1,64.0,0.6942,Moderate
1.7,971.0,4.6,741.0,230.0,900.0,144.0,864.0,770.0,2.9,42.8,0.3276,Good
0.0,1160.0,9.2,947.0,371.0,712.0,191.0,1071.0,1288.0,7.9,41.6,0.4459,Moderate
0.7,937.0,5.4,785.0,243.0,853.0,156.0,969.0,703.0,4.2,50.1,0.4168,Good
1.5,975.0,4.4,731.0,156.0,786.0,117.0,1095.0,621.0,16.3,47.3,0.8686,Good
2.0,1176.0,8.4,913.0,309.0,621.0,143.0,1346.0,1082.0,19.8,44.2,1.0091,Moderate
1.2,880.0,6.0,811.0,294.0,928.0,136.0,954.0,1040.0,6.9,39.4,0.3948,Good
4.2,1520.0,25.2,1434.0,578.0,404.0,161.0,1808.0,1783.0,11.7,54.3,0.7459,Poor
3.2,1336.0,21.6,1339.0,422.0,539.0,112.0,2048.0,1399.0,21.3,63.5,1.5941,Poor
2.2,1067.0,15.1,1152.0,193.0,739.0,142.0,1682.0,1308.0,42.6,9.6,0.8012,Moderate
1.4,1059.0,5.4,783.0,313.0,770.0,196.0,1116.0,941.0,5.5,79.5,0.7238,Good
3.9,1217.0,18.7,1260.0,487.0,532.0,142.0,1940.0,1375.0,26.3,43.1,1.4542,Poor
2.0,1196.0,9.1,943.0,255.0,599.0,130.0,1294.0,951.0,25.5,28.3,0.9124,Moderate
1.1,997.0,4.6,744.0,76.0,1150.0,79.0,1405.0,831.0,10.8,62.5,0.8082,Good
2.0,972.0,5.4,784.0,241.0,915.0,127.0,883.0,1085.0,5.2,44.1,0.3939,Good
2.1,900.0,6.7,843.0,309.0,1060.0,121.0,907.0,750.0,9.8,30.3,0.3658,Good
4.4,1460.0,25.3,1437.0,260.0,680.0,196.0,1953.0,1488.0,30.0,19.4,0.81,Poor
1.2,966.0,4.4,735.0,59.0,931.0,70.0,1494.0,567.0,28.2,41.9,1.5776,Good
4.5,1302.0,21.8,1345.0,230.0,706.0,164.0,1879.0,1698.0,24.6,25.1,0.7636,Poor
1.3,1160.0,10.4,992.0,323.0,601.0,167.0,1210.0,906.0,18.2,28.1,0.5817,Moderate
3.4,1454.0,18.7,1259.0,464.0,501.0,84.0,1868.0,1539.0,23.7,56.0,1.6238,Poor
4.9,1559.0,24.8,1423.0,247.0,579.0,143.0,2175.0,1687.0,20.8,45.3,1.1016,Poor
1.6,1084.0,8.5,917.0,89.0,890.0,79.0,1639.0,871.0,21.3,44.7,1.1157,Moderate
1.5,1220.0,5.5,786.0,204.0,674.0,154.0,1309.0,1162.0,16.3,56.6,1.0422,Good
2.4,1348.0,10.5,997.0,147.0,833.0,102.0,1689.0,1218.0,14.6,53.1,0.8765,Moderate
1.7,951.0,7.0,858.0,236.9796848547988,897.0,110.3925641359552,1266.0,717.0,29.3,20.4,0.8162,Good
2.8,1198.0,15.1,1152.0,176.0,685.0,125.0,1897.0,1241.0,26.1,37.8,1.2575,Moderate
0.5,776.0,0.5,444.0,36.0,1459.0,34.0,737.0,330.0,1.4,53.8,0.3687,Good
2.1,1089.0,12.7,1073.0,133.0,745.0,122.0,1693.0,1124.0,26.1,31.1,1.0338,Moderate
2.7,1313.0,19.5,1282.0,236.0,671.0,100.0,2179.0,1298.0,17.1,79.8,1.542,Poor
2.2,1176.0,15.5,1165.0,297.0,621.0,75.0,1667.0,1157.0,18.8,62.5,1.3401,Moderate
2.0851233094669848,1112.0,9.4,953.0,117.0,681.0,99.0,1801.0,898.0,21.6,78.5,1.994,Moderate
1.9,1028.0,10.1,982.0,129.0,949.0,97.0,1470.0,879.0,25.1,20.8,0.6516,Moderate
1.6,1088.0,6.9,853.0,276.0,729.0,180.0,995.0,1121.0,10.5,33.4,0.4246,Good
2.9,1263.0,18.1,1241.0,228.0,608.0,129.0,1988.0,1280.0,27.0,37.3,1.3081,Poor
2.7,1335.0,11.8,1043.0,256.0,935.0,96.0,1678.0,1191.0,6.5,71.6,0.6945,Moderate
2.8,1364.0,16.8,1205.0,196.0,722.0,139.0,1850.0,1565.0,26.7,28.7,0.9895,Poor
2.1,1155.0,10.9,1012.0,243.0,632.0,66.0,1576.0,1124.0,19.4,71.4,1.5959,Moderate
3.1,1243.0,15.2,1154.0,430.0,545.0,155.0,1473.0,1397.0,15.1,49.6,0.8428,Moderate
1.3,1018.0,8.0,900.0,231.0,749.0,64.0,1438.0,959.0,17.0,70.1,1.3512,Moderate
1.5,974.0,7.0,859.0,177.0,776.0,81.0,1042.0,1018.0,4.2,69.0,0.5737,Good
0.7,917.0,1.7,562.0,58.0,1414.0,60.0,1257.0,422.0,10.7,67.6,0.8703,Good
0.5,787.0,0.5,445.0,53.5,1395.0,48.5,656.0,310.0,4.0,36.4,0.2989,Good
3.9,1296.0,13.6,1102.0,522.0,506.0,186.0,1375.0,1582.0,18.2,36.3,0.7487,Moderate
3.9,1327.0,20.1,1299.0,654.0,498.0,301.0,1405.0,1672.0,4.4,61.1,0.5176,Poor
3.0,1199.0,18.2,1246.0,553.0,797.0,136.0,1574.0,1415.0,19.7,37.5,0.8501,Poor
2.0851233094669848,950.0,5.0,762.0,60.0,826.0,69.0,1615.0,959.0,21.9,72.8,1.8944,Good
2.4,1194.0,11.0,1013.0,355.0,645.0,104.0,1344.0,1275.0,14.5,62.3,1.0216,Moderate
0.2,799.0,1.6,555.0,37.0,1326.0,48.0,1319.0,642.0,12.8,66.0,0.969,Good
0.9,1079.0,5.1,768.0,236.0,732.0,139.0,923.0,1304.0,3.6,51.7,0.4123,Good
0.9,972.0,2.8,638.0,47.0,1222.0,70.0,1256.0,677.0,14.8,40.8,0.6834,Good
4.1,1350.0,21.8,1344.0,538.0,501.0,117.0,1923.0,1419.0,19.5,67.1,1.506,Poor
1.6,1254.0,9.0,940.0,98.0,828.0,106.0,1566.0,1269.0,17.1,51.8,0.999,Moderate
5.6,1582.0,26.1,1456.0,744.0,376.0,189.0,1807.0,1976.0,13.2,51.0,0.7704,Poor
3.8,1472.0,17.8,1234.0,482.0,467.0,164.0,1701.0,1519.0,21.0,49.8,1.2208,Poor
0.3,748.0,0.8,476.0,21.0,1702.0,28.0,1301.0,380.0,19.1,52.7,1.1545,Good
1.7,1178.0,7.6,884.0,91.0,830.0,76.0,1696.0,1086.0,15.7,78.6,1.3943,Good
2.4,1262.0,16.2,1186.0,282.0,632.0,165.0,1842.0,1602.0,32.4,24.8,1.1886,Moderate
2.5,1366.0,8.6,924.0,128.0,952.0,104.0,1543.0,1337.0,12.5,58.9,0.8537,Moderate
1.7,1117.0,8.4,914.0,393.0,730.0,95.0,1289.0,1059.0,9.3,76.9,0.9007,Moderate
3.9,1412.0,21.6,1339.0,521.0,464.0,195.0,1611.0,1532.0,20.3,29.7,0.6973,Poor
3.6,1396.0,21.8,1346.0,228.0,579.0,165.0,2017.0,1837.0,31.5,27.8,1.2671,Poor
3.8,1212.0,21.6,1340.0,210.0,682.0,143.0,2089.0,1600.0,28.8,30.2,1.1761,Poor
2.1,1155.0,11.5,1033.0,154.0,813.0,122.0,1640.0,1123.0,27.7,26.3,0.9652,Moderate
4.3,1507.0,23.1,1379.0,864.0,495.0,137.0,1766.0,1566.0,10.0,75.0,0.9179,Poor
0.7,933.0,2.3,609.0,69.0,976.0,54.0,1093.0,580.0,13.7,61.1,0.9537,Good
1.3,1070.0,4.5,738.0,154.0,766.0,109.0,1069.0,1185.0,7.5,65.9,0.6868,Good
0.4,796.0,2.5,621.0,23.0,1104.0,37.0,1303.0,562.0,21.6,44.0,1.1225,Good
2.1,1102.0,8.3,912.0,215.0,647.0,136.0,1286.0,871.0,17.8,45.2,0.9123,Moderate
4.0,1424.0,13.2,1090.0,507.0,566.0,176.0,1351.0,1895.0,12.2,61.1,0.8652,Moderate
2.2,1278.0,12.6,1069.0,255.0,557.0,142.0,1478.0,1110.0,16.6,52.4,0.981,Moderate
3.7,1317.0,21.5,1338.0,200.0,593.0,198.0,2132.0,1362.0,37.1,26.9,1.6635,Poor
5.8,1526.0,27.9,1502.0,236.9796848547988,410.0,110.3925641359552,1867.0,1726.0,6.2,76.8,0.7355,Poor
7.5,1553.0,24.4,1414.0,760.0,455.0,193.0,1851.0,1681.0,17.7,56.6,1.133,Poor
1.0,1014.0,2.8,639.0,143.0,820.0,92.0,1247.0,737.0,14.1,79.1,1.2665,Good
0.5,929.0,3.5,683.0,65.0,1058.0,75.0,1220.0,779.0,15.8,36.5,0.6535,Good
3.2,1252.0,13.7,1108.0,478.0,633.0,156.0,1252.0,1494.0,15.1,37.4,0.6374,Moderate
1.4,927.0,8.8,929.0,108.0,840.0,89.0,1522.0,1026.0,23.6,33.8,0.9685,Moderate
1.7,1169.0,9.5,959.0,86.0,666.0,88.0,1797.0,837.0,27.4,55.5,1.9998,Moderate
3.3,1234.0,15.4,1160.0,664.0,629.0,200.0,1385.0,1318.0,6.3,61.7,0.5926,Moderate
1.3,1027.0,7.8,890.0,180.0,733.0,51.0,1525.0,1323.0,19.4,75.1,1.6766,Moderate
0.6,815.0,2.4,615.0,21.0,1079.0,29.0,1532.0,595.0,23.8,61.3,1.7881,Good
1.6,1044.0,8.0,899.0,137.0,934.0,96.0,1470.0,919.0,13.8,47.4,0.7435,Moderate
4.1,1280.0,15.6,1168.0,654.0,571.0,211.0,1195.0,1755.0,6.7,39.6,0.3906,Moderate
2.7,1313.0,12.6,1069.0,470.0,571.0,215.0,1271.0,1662.0,8.3,57.6,0.6304,Moderate
3.2,1541.0,16.7,1199.0,583.0,468.0,214.0,1520.0,1577.0,15.1,49.8,0.8458,Poor
2.6,1489.0,11.7,1038.0,182.0,782.0,108.0,1756.0,1421.0,16.3,50.0,0.9158,Moderate
2.8,1172.0,13.7,1107.0,166.0,705.0,122.0,1877.0,1058.0,28.3,34.5,1.3084,Moderate
2.6,1450.0,20.1,1298.0,574.0,451.0,148.0,1744.0,1633.0,14.0,65.4,1.0427,Poor
1.1,799.0,3.6,690.0,169.0,1125.0,104.0,822.0,610.0,7.1,33.7,0.3417,Good
3.1,1064.0,15.1,1150.0,272.0,800.0,118.0,1893.0,1159.0,23.5,40.0,1.1386,Moderate
6.7,1974.0,35.1,1666.0,347.0,596.0,182.0,2415.0,2358.0,20.5,38.2,0.9133,Poor
2.0,1085.0,9.2,945.0,126.0,846.0,89.0,1729.0,944.0,25.2,45.2,1.4262,Moderate
0.8,932.0,2.1,594.0,120.0,991.0,100.0,1025.0,770.0,5.0,82.8,0.7273,Good
4.7,1597.0,26.5,1466.0,320.0,517.0,109.0,2399.0,1687.0,16.9,66.1,1.2613,Poor
1.1,1022.0,6.2,823.0,51.0,963.0,61.0,1598.0,630.0,32.5,27.6,1.3229,Good
2.1,1169.0,7.9,894.0,318.0,680.0,192.0,1201.0,1106.0,5.5,81.5,0.7393,Moderate
6.5,1632.0,35.3,1670.0,761.0,397.0,149.0,2270.0,1851.0,20.8,64.0,1.5522,Poor
1.0,910.0,2.4,613.0,148.0,991.0,81.0,934.0,861.0,2.4,71.9,0.5288,Good
0.5,905.0,3.0,649.0,22.5,961.0,30.0,1580.0,767.0,26.9,60.3,2.1074,Good
4.2,1352.0,20.9,1322.0,465.0,519.0,129.0,1860.0,1429.0,20.0,73.3,1.693,Poor
3.6,1312.0,15.9,1177.0,439.0,710.0,141.0,1588.0,1261.0,13.7,70.9,1.1076,Moderate
0.9,919.0,4.0,711.0,189.0,1666.0,74.0,1194.0,818.0,12.4,75.3,1.0813,Good
0.7,922.0,4.1,714.0,169.0,915.0,112.0,1014.0,646.0,8.7,55.1,0.6228,Good
1.8,1009.0,7.1,863.0,265.0,914.0,95.0,1256.0,885.0,15.2,51.0,0.8762,Good
0.6,717.0,1.0,500.0,63.0,1401.0,44.0,913.0,373.0,10.4,53.7,0.6749,Good
3.8,1485.0,18.9,1264.0,722.0,440.0,165.0,1646.0,1676.0,9.5,62.6,0.7444,Poor
0.6,811.0,1.7,558.0,71.0,1170.0,50.0,1084.0,558.0,13.7,64.4,1.0036,Good
2.0,1104.0,11.2,1020.0,106.0,680.0,82.0,1770.0,1085.0,26.6,47.5,1.6265,Moderate
4.0,1210.0,15.9,1176.0,667.0,620.0,179.0,1221.0,1584.0,6.6,42.5,0.416,Moderate
2.0,1072.0,7.4,873.0,342.0,715.0,153.0,1032.0,1000.0,10.8,37.1,0.4794,Good
1.4,1009.0,5.8,801.0,267.0,826.0,180.0,943.0,985.0,5.5,42.6,0.3874,Good
2.1,1300.0,10.5,997.0,327.0,552.0,170.0,1283.0,1609.0,14.3,49.6,0.8049,Moderate
1.6,1055.0,5.6,795.0,202.0,782.0,115.0,1187.0,896.0,12.5,63.7,0.9196,Good
0.5,779.0,1.0,499.0,133.0,1360.0,84.0,651.0,312.0,-0.6,41.4,0.2478,Good
2.3,857.0,3.9,707.0,162.0,971.0,93.0,983.0,581.0,9.7,49.8,0.5998,Good
1.9,1025.0,11.2,1019.0,269.0,688.0,122.0,1603.0,991.0,30.0,31.6,1.3176,Moderate
4.6,1706.0,23.0,1378.0,850.0,415.0,247.0,1637.0,2225.0,11.0,53.6,0.7033,Poor
3.1,1181.0,9.4,956.0,506.0,689.0,124.0,1400.0,1057.0,13.8,76.8,1.206,Moderate
0.5,904.0,1.0,502.0,62.0,1152.0,59.0,955.0,466.0,3.3,84.5,0.6608,Good
1.4,937.0,3.7,692.0,192.0,937.0,149.0,804.0,737.0,5.8,35.4,0.3286,Good
3.1,1209.0,15.1,1150.0,405.0,569.0,143.0,1427.0,1344.0,11.3,60.1,0.8022,Moderate
0.0,773.0,0.5,441.0,42.0,1645.0,35.0,759.0,282.0,2.8,54.4,0.411,Good
0.8,1390.0,15.6,1167.0,587.0,522.0,195.0,1391.0,1619.0,6.3,78.8,0.7544,Moderate
2.3,1022.0,15.2,1154.0,172.0,870.0,113.0,1839.0,979.0,34.3,19.4,1.0279,Moderate
3.3,1147.0,13.6,1103.0,258.0,723.0,138.0,1712.0,1301.0,21.0,37.9,0.9313,Moderate
5.0,1386.0,28.8,1522.0,505.0,559.0,184.0,1990.0,1469.0,34.1,23.0,1.2081,Poor
7.5,1547.0,29.2,1532.0,1040.0,1009.0,185.0,1972.0,1718.0,12.3,78.8,1.1279,Poor
1.7,1097.0,7.8,891.0,286.0,719.0,167.0,979.0,1423.0,4.9,45.9,0.3999,Moderate
0.1,771.0,2.6,626.0,34.0,1501.0,41.0,1210.0,429.0,29.1,19.6,0.7771,Good
1.6,973.0,8.3,910.0,126.0,800.0,121.0,1441.0,891.0,32.9,21.8,1.0714,Moderate
4.9,1478.0,26.4,1465.0,712.0,471.0,131.0,2018.0,1571.0,13.4,74.4,1.1407,Poor
4.9,1387.0,22.6,1367.0,596.0,499.0,214.0,1721.0,1502.0,16.8,55.2,1.048,Poor
4.5,1407.0,21.5,1338.0,992.0,531.0,225.0,1584.0,1533.0,7.7,72.5,0.7666,Poor
1.1,868.0,3.8,702.0,159.0,1019.0,103.0,890.0,842.0,11.9,32.4,0.4489,Good
0.1,888.0,3.8,697.0,27.0,1131.0,40.0,1233.0,437.0,40.2,12.3,0.8983,Good
0.7,851.0,4.5,738.0,37.0,1094.0,63.0,1524.0,836.0,19.6,54.8,1.236,Good
0.7,940.0,3.6,686.0,44.0,948.0,52.0,1529.0,641.0,24.7,56.9,1.739,Good
1.1,1011.0,4.8,751.0,66.0,1053.0,74.0,1392.0,649.0,15.7,47.0,0.8325,Good
3.4,1303.0,17.1,1211.0,444.0,475.0,182.0,1584.0,1383.0,21.5,39.1,0.9914,Poor
2.3,1228.0,9.3,952.0,301.0,668.0,81.0,1622.0,1109.0,24.5,58.8,1.7838,Moderate
1.8,1157.0,10.1,983.0,101.0,750.0,110.0,1803.0,807.0,38.1,26.3,1.7213,Moderate
2.0,1165.0,7.3,869.0,297.0,671.0,147.0,1180.0,1482.0,9.7,60.0,0.7238,Good
0.5,841.0,1.8,565.0,23.0,1326.0,34.5,1398.0,436.0,15.5,66.9,1.1691,Good
1.8,1164.0,6.6,839.0,219.0,651.0,140.0,1214.0,867.0,19.5,40.2,0.901,Good
5.6,1458.0,14.2,1122.0,527.0,539.0,164.0,1395.0,2029.0,9.6,65.9,0.7869,Moderate
2.5,1203.0,10.0,979.0,378.0,638.0,202.0,1146.0,1326.0,10.9,34.9,0.4568,Moderate
3.2,1373.0,18.0,1239.0,487.0,482.0,147.0,1569.0,1532.0,13.7,57.9,0.9063,Poor
3.5,1452.0,22.7,1370.0,679.0,445.0,189.0,1580.0,1817.0,7.1,50.0,0.5067,Poor
1.7,1144.0,5.9,805.0,198.0,735.0,111.0,1207.0,1120.0,10.5,72.0,0.912,Good
5.0,1535.0,26.1,1457.0,269.0,568.0,159.0,2120.0,1735.0,21.1,40.2,0.997,Poor
3.7,1407.0,19.4,1278.0,163.0,659.0,120.0,2008.0,1308.0,23.5,43.7,1.2484,Poor
0.9,922.0,3.1,657.0,226.0,898.0,140.0,921.0,706.0,11.1,43.3,0.572,Good
1.3,908.0,6.3,826.0,245.0,897.0,142.0,801.0,626.0,10.1,16.7,0.2062,Good
1.3,972.0,6.4,828.0,146.0,818.0,61.0,1444.0,811.0,19.7,68.2,1.5484,Good
0.0,979.0,1.5,546.0,72.0,951.0,54.0,1038.0,470.0,9.8,68.9,0.8329,Good
1.5,1046.0,7.0,858.0,92.0,947.0,84.0,1537.0,676.0,23.9,34.3,1.002,Good
0.5,886.0,2.9,646.0,50.0,1046.0,61.0,1500.0,740.0,25.1,48.0,1.5115,Good
0.3,647.0,0.3,411.0,39.0,1963.0,29.0,779.0,273.0,10.6,36.1,0.4624,Good
3.0,1305.0,12.9,1079.0,196.0,826.0,133.0,1621.0,1285.0,14.7,40.1,0.6657,Moderate
4.4,1494.0,23.1,1381.0,543.0,422.0,223.0,1677.0,1878.0,18.4,38.8,0.8152,Poor
3.1,1106.0,17.3,1219.0,346.0,683.0,132.0,1581.0,1130.0,25.1,25.8,0.8065,Poor
3.7,1473.0,21.1,1326.0,505.0,484.0,134.0,1942.0,1609.0,23.5,56.2,1.6048,Poor
3.5,1401.0,21.7,1342.0,192.0,663.0,148.0,1958.0,1267.0,31.2,20.3,0.9064,Poor
0.5,747.0,2.2,595.0,107.0,1208.0,61.0,1088.0,676.0,12.8,59.8,0.8801,Good
0.7,880.0,4.2,723.0,110.5,913.0,43.0,1277.0,776.0,14.8,79.7,1.3286,Good
1.8,1073.0,9.7,966.0,128.0,934.0,87.0,1536.0,804.0,16.6,36.7,0.6867,Moderate
2.0851233094669848,1105.0,13.8,1109.0,129.0,657.0,135.0,1752.0,1105.0,28.5,32.1,1.2296,Moderate
2.3,1060.0,9.6,962.0,257.0,720.0,140.0,1167.0,942.0,9.0,50.4,0.5809,Moderate
1.6,1045.0,7.0,857.0,92.0,967.0,93.0,1410.0,922.0,15.3,41.5,0.7194,Good
0.6,943.0,2.0,586.0,92.0,976.0,61.0,1090.0,585.0,13.1,63.4,0.9535,Good
1.4,1367.0,13.6,1104.0,370.0,503.0,140.0,1577.0,1390.0,21.3,46.6,1.1628,Moderate
2.2,1187.0,13.7,1107.0,178.0,692.0,132.0,1817.0,1274.0,34.2,27.2,1.4404,Moderate
1.7,1186.0,6.8,850.0,241.0,652.0,109.0,1169.0,1382.0,7.6,72.7,0.7598,Good
0.3,777.0,2.4,609.0,31.0,1169.0,46.0,1404.0,644.0,21.7,47.3,1.2135,Good
1.5,1087.0,9.2,947.0,69.0,742.0,77.0,1667.0,765.0,30.7,38.7,1.678,Moderate
2.1,1149.0,7.8,890.0,331.0,684.0,178.0,1198.0,1002.0,13.9,43.8,0.6937,Moderate
1.2,894.0,5.2,775.0,178.0,1024.0,82.0,1274.0,639.0,26.6,30.7,1.0501,Good
2.2,1001.0,10.3,989.0,279.0,840.0,99.0,1357.0,1010.0,17.8,36.5,0.7366,Moderate
2.4,1096.0,7.5,877.0,356.0,736.0,127.0,1140.0,1053.0,4.9,80.1,0.7011,Good
0.7,864.0,5.0,764.0,51.0,916.0,63.0,1430.0,826.0,21.3,46.5,1.1608,Good
0.3,871.0,3.6,689.0,141.0,970.0,107.0,865.0,631.0,6.6,43.2,0.4247,Good
2.0851233094669848,850.0,6.3,827.0,76.0,874.0,83.0,1448.0,911.0,20.2,42.5,0.9949,Good
2.8,1409.0,13.9,1112.0,157.0,710.0,110.0,1849.0,1255.0,25.2,40.1,1.2642,Moderate
3.1,1210.0,14.8,1142.0,269.0,632.0,157.0,1860.0,1331.0,24.2,48.5,1.4452,Moderate
2.6,1453.0,10.9,1012.0,323.0,533.0,149.0,1348.0,1440.0,8.3,84.0,0.9234,Moderate
2.3,1452.0,12.4,1063.0,142.0,855.0,110.0,1774.0,1146.0,18.5,46.3,0.9744,Moderate
0.0,872.0,1.5,548.0,119.5,1105.0,90.0,1007.0,791.0,6.9,76.4,0.7661,Good
2.0851233094669848,886.0,4.9,758.0,43.0,1094.0,38.0,1622.0,803.0,19.1,69.0,1.5043,Good
1.3,959.0,6.9,853.0,177.0,781.0,122.0,967.0,708.0,13.7,30.3,0.4724,Good
2.0851233094669848,1156.0,12.9,1081.0,125.0,631.0,114.0,1853.0,906.0,31.9,37.5,1.7442,Moderate
2.0851233094669848,1124.0,10.2,984.0,115.0,677.0,97.0,1826.0,902.0,21.5,78.4,1.9818,Moderate
4.8,1222.0,23.8,1399.0,344.0,592.0,193.0,1940.0,1508.0,28.7,26.2,1.0144,Poor
2.5,998.0,14.1,1118.0,207.0,831.0,120.0,1779.0,1056.0,31.6,24.1,1.0994,Moderate
4.4,1287.0,24.7,1422.0,311.0,609.0,116.0,2319.0,1482.0,20.9,49.3,1.2049,Poor
2.4,1227.0,12.9,1080.0,338.0,570.0,132.0,1395.0,1369.0,14.2,54.3,0.8757,Moderate
2.0,1064.0,6.7,844.0,350.0,779.0,211.0,979.0,1117.0,8.0,33.3,0.3591,Good
4.3,1184.0,16.4,1192.0,839.0,626.0,212.0,1326.0,1478.0,14.5,33.8,0.5541,Poor
0.6499999999999999,954.0,2.9,644.0,60.0,1260.0,78.0,1334.0,924.0,11.6,61.9,0.8442,Good
1.9,1099.0,11.2,1021.0,492.0,751.0,193.0,1101.0,1367.0,12.2,30.0,0.4245,Moderate
2.9,1166.0,16.2,1186.0,393.0,877.0,175.0,1500.0,1179.0,38.4,13.8,0.9221,Moderate
1.5,1088.0,11.3,1024.0,180.0,831.0,111.0,1451.0,1182.0,27.4,31.5,1.133,Moderate
2.45,1112.0,6.7,842.0,100.0,1015.0,91.0,1494.0,679.0,11.3,63.9,0.8554,Good
2.0,1174.0,7.4,872.0,287.0,672.0,136.0,1300.0,1070.0,13.7,63.6,0.9912,Good
1.5,1115.0,7.1,859.0,214.0,669.0,123.0,1196.0,863.0,19.3,35.5,0.7876,Good
2.7,1150.0,15.2,1154.0,151.0,747.0,132.0,1894.0,1186.0,28.4,35.7,1.3549,Moderate
2.9,1347.0,17.2,1216.0,392.0,559.0,91.0,1815.0,1412.0,20.2,66.3,1.555,Poor
0.6,947.0,1.6,552.0,84.0,943.0,69.0,1109.0,692.0,11.6,73.8,1.0054,Good
0.9,948.0,2.9,647.0,117.0,955.0,100.0,1023.0,761.0,4.0,80.8,0.6666,Good
1.3,1156.0,7.8,889.0,154.0,680.0,53.0,1548.0,1054.0,20.8,66.7,1.6201,Moderate
1.0,848.0,3.5,682.0,67.0,1214.0,72.0,1378.0,472.0,20.3,42.6,1.0045,Good
2.6,931.0,11.5,1032.0,403.0,794.0,164.0,1098.0,991.0,13.5,27.9,0.4287,Moderate
3.1,1309.0,12.9,1081.0,621.0,554.0,267.0,1400.0,1253.0,4.1,82.5,0.6819,Moderate
0.4,808.0,1.9,578.0,22.0,1169.0,29.0,1445.0,513.0,25.6,53.5,1.7291,Good
1.6,960.0,5.0,764.0,217.0,864.0,108.0,1212.0,810.0,15.6,60.0,1.0594,Good
0.7,958.0,1.9,577.0,114.0,907.0,79.0,1078.0,546.0,11.8,67.1,0.9274,Good
2.4,1119.0,11.9,1045.0,264.0,752.0,122.0,1562.0,975.0,31.8,27.4,1.2673,Moderate
1.0,1397.0,15.0,1149.0,461.0,534.0,191.0,1417.0,1699.0,15.0,50.2,0.8495,Moderate
1.3,818.0,6.0,810.0,220.0,946.0,100.0,1026.0,631.0,13.4,36.3,0.5556,Good
0.6,910.0,1.3,524.0,74.0,1102.0,68.0,801.0,600.0,6.4,42.7,0.4126,Good
0.0,872.0,1.7,558.0,114.0,1054.0,100.0,807.0,852.0,0.5,59.4,0.3841,Good
3.0,1301.0,13.2,1092.0,534.0,524.0,261.0,1387.0,1484.0,7.2,72.4,0.7372,Moderate
2.5,1159.0,12.1,1053.0,158.0,877.0,120.0,1603.0,1046.0,23.0,28.7,0.7976,Moderate
1.6,1047.0,6.3,826.0,89.0,853.0,90.0,1636.0,747.0,28.8,41.3,1.6164,Good
0.4,722.0,1.5,543.0,43.5,1274.0,50.5,1314.0,583.0,18.8,51.1,1.1,Good
2.7,1214.0,8.6,922.0,326.0,740.0,117.0,1273.0,1123.0,13.3,63.3,0.9597,Moderate
1.1,1021.0,6.1,817.0,64.0,835.0,69.0,1669.0,821.0,23.7,54.3,1.5731,Good
0.5,893.0,1.1,506.0,59.0,1110.0,51.0,794.0,488.0,6.9,42.2,0.4224,Good
1.6,1003.0,6.5,836.0,98.0,948.0,96.0,1455.0,747.0,16.2,50.2,0.9156,Good
0.9,866.0,4.4,734.0,109.0,899.0,45.0,1299.0,770.0,14.8,78.7,1.3169,Good
7.2,1520.0,25.0,1430.0,691.0,448.0,187.0,1906.0,1760.0,17.3,58.2,1.1435,Poor
1.6,964.0,10.0,976.0,149.0,724.0,94.0,1515.0,1013.0,20.6,45.5,1.0925,Moderate
1.1,985.0,5.4,784.0,225.0,842.0,96.0,1172.0,852.0,10.0,76.2,0.9332,Good
0.1,749.0,0.7,465.0,23.0,1802.0,29.0,1088.0,306.0,16.1,36.5,0.664,Good
2.4,1242.0,16.2,1184.0,733.0,624.0,232.0,1296.0,1510.0,4.9,55.8,0.4882,Moderate
1.7,1053.0,12.6,1071.0,252.0,1005.0,116.0,1379.0,940.0,37.1,15.0,0.9297,Moderate
0.7,905.0,2.4,614.0,95.0,884.0,67.0,1104.0,775.0,11.6,74.9,1.0224,Good
2.4,1239.0,11.0,1013.0,303.0,627.0,77.0,1643.0,1143.0,23.0,64.6,1.7851,Moderate
1.7,1163.0,10.5,997.0,295.0,641.0,68.0,1606.0,1113.0,17.6,78.8,1.5723,Moderate
2.0,1218.0,12.0,1050.0,121.0,795.0,108.0,1688.0,881.0,30.3,23.3,0.9869,Moderate
0.1,909.0,2.5,622.0,130.0,1045.0,88.0,991.0,729.0,5.6,69.5,0.6362,Good
2.5,933.0,3.1,659.0,131.0,955.0,98.0,910.0,487.0,9.0,47.3,0.542,Good
1.8,1049.0,7.1,862.0,350.0,826.0,197.0,922.0,978.0,3.7,33.9,0.2732,Good
0.8,1176.0,7.5,877.0,288.0,640.0,151.0,1223.0,844.0,14.0,47.8,0.7582,Good
1.3,967.0,6.3,826.0,197.0,866.0,132.0,898.0,548.0,29.4,10.4,0.4192,Good
2.2,1028.0,10.1,982.0,337.0,727.0,132.0,978.0,1048.0,13.7,19.9,0.3114,Moderate
2.7,1303.0,14.7,1138.0,152.0,790.0,126.0,1760.0,1138.0,24.7,30.5,0.9371,Moderate
2.0,1197.0,9.3,949.0,110.0,822.0,118.0,1591.0,918.0,20.8,41.8,1.0155,Moderate
0.8,821.0,2.0,583.0,106.0,1131.0,70.0,1069.0,686.0,12.7,65.6,0.9566,Good
